epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3681,1.64965,3.66286,1.44073,0.00625,1,0.01797,0.00631,1.61925,3.73624,1.42964,6e-05,6e-05,6e-05
2,60.8076,1.47158,3.10906,1.28094,0.00625,1,0.37808,0.23118,1.34268,3.39058,1.10894,0.000137228,0.000137228,0.000137228
3,90.5793,1.50279,2.09214,1.17475,0.00625,1,0.73945,0.39621,1.21166,3.11149,1.00755,0.000211288,0.000211288,0.000211288
4,120.289,1.43244,1.63506,1.1774,0.00583,0.93333,0.79748,0.35238,1.34409,3.19383,1.14531,0.00028218,0.00028218,0.00028218
5,150.294,1.42013,1.37838,1.14937,0.00625,1,0.82626,0.40177,1.1475,3.05974,1.07593,0.000349904,0.000349904,0.000349904
6,180.663,1.37676,1.34918,1.13057,0.00625,1,0.78929,0.39283,1.14289,3.00468,1.0868,0.00041446,0.00041446,0.00041446
7,210.664,1.28598,1.24829,1.15311,0.00625,1,0.78024,0.48052,1.18382,2.97838,1.10609,0.000475848,0.000475848,0.000475848
8,241.321,1.25374,1.17359,1.10918,0.00625,1,0.86685,0.5802,1.10929,2.98864,1.11173,0.000534068,0.000534068,0.000534068
9,273.04,1.30709,1.18577,1.11707,0.00625,1,0.81045,0.49858,1.20485,2.98737,1.11902,0.00058912,0.00058912,0.00058912
10,302.856,1.26656,1.11484,1.08656,1,0.12096,0.87825,0.53916,1.26377,2.88647,1.18368,0.000641004,0.000641004,0.000641004
11,333.19,1.28987,1.1918,1.14977,1,0.32236,0.92652,0.56257,1.24405,2.67874,1.22849,0.00068972,0.00068972,0.00068972
12,362.911,1.17687,1.07694,1.10146,1,0.45924,0.94125,0.54734,1.49535,2.61519,1.38409,0.000735268,0.000735268,0.000735268
13,393.061,1.13296,1.01512,1.0597,1,0.8086,0.995,0.69269,1.1309,2.4892,1.08873,0.000777648,0.000777648,0.000777648
14,422.698,1.14867,1.00702,1.05135,1,0.82675,0.995,0.68726,1.12378,2.3588,1.06706,0.00081686,0.00081686,0.00081686
15,452.742,1.15716,0.96905,1.06694,1,0.85666,0.995,0.62341,1.35429,2.24299,1.19401,0.000852904,0.000852904,0.000852904
16,482.324,1.17985,0.98134,1.04846,1,0.58858,0.995,0.6271,1.31582,2.3285,1.12082,0.00088578,0.00088578,0.00088578
17,512.418,1.13455,0.95534,1.02485,1,0.5695,0.995,0.69443,1.10764,2.30067,1.0518,0.000915488,0.000915488,0.000915488
18,542.675,1.12935,0.89211,1.02295,1,0.79162,0.995,0.71976,1.07144,2.22241,1.00049,0.000942028,0.000942028,0.000942028
19,572.924,1.18512,0.97574,1.07986,1,0.93839,0.995,0.75298,1.01915,2.08853,0.9922,0.0009654,0.0009654,0.0009654
20,603.065,1.11398,0.92488,1.03154,1,0.95435,0.995,0.715,1.18314,1.89787,1.09417,0.000985604,0.000985604,0.000985604
21,633.728,1.13083,0.8982,1.07349,1,0.89483,0.96714,0.71868,1.09113,1.77071,1.0519,0.00100264,0.00100264,0.00100264
22,663.518,1.05214,0.90773,1.0015,1,0.9444,0.995,0.79522,0.87695,1.71176,0.92517,0.00101651,0.00101651,0.00101651
23,693.689,1.1164,0.8602,1.05697,1,0.9973,0.995,0.80269,0.88363,1.57305,0.94599,0.00102721,0.00102721,0.00102721
