epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,723.703,1.00114,0.84969,1.01125,1,0.98102,0.995,0.8298,0.7978,1.30776,0.91202,0.00103474,0.00103474,0.00103474
25,754.018,0.97393,0.88178,0.99867,0.92698,1,0.99125,0.80827,0.73159,1.20146,0.89111,0.0010391,0.0010391,0.0010391
26,784.567,0.96584,0.79741,0.97208,0.9871,0.93333,0.99125,0.78253,0.8659,1.17002,0.94373,0.00101,0.00101,0.00101
27,814.852,0.98103,0.82793,1.01975,1,0.99206,0.995,0.77838,0.93709,1.18869,0.97088,0.0009704,0.0009704,0.0009704
28,844.529,1.07027,0.80726,1.0219,1,0.99356,0.995,0.82343,0.76517,1.20472,0.91981,0.0009308,0.0009308,0.0009308
29,874.876,1.01847,0.87186,1.04346,0.99938,1,0.995,0.77265,0.88636,1.2681,0.93955,0.0008912,0.0008912,0.0008912
30,904.675,1.08568,0.85402,1.0548,0.97497,1,0.995,0.79148,0.80219,1.26417,0.89949,0.0008516,0.0008516,0.0008516
31,934.888,0.95383,0.79452,0.99343,0.9882,1,0.995,0.84582,0.69386,1.20601,0.89798,0.000812,0.000812,0.000812
32,964.779,1.02477,0.78621,0.9853,0.98107,1,0.995,0.83592,0.69263,1.16547,0.90484,0.0007724,0.0007724,0.0007724
33,994.813,1.00386,0.79822,1.02768,0.98264,1,0.995,0.78847,0.79678,1.18204,0.92139,0.0007328,0.0007328,0.0007328
34,1024.73,0.90826,0.75789,1.00962,0.97978,1,0.995,0.70204,1.09803,1.24162,0.98933,0.0006932,0.0006932,0.0006932
35,1054.96,1.00801,0.75266,1.02725,0.98005,1,0.995,0.72551,1.02191,1.13041,0.95779,0.0006536,0.0006536,0.0006536
36,1084.6,0.89573,0.7135,0.97074,0.99252,1,0.995,0.79126,0.8175,1.00145,0.90835,0.000614,0.000614,0.000614
37,1114.98,0.93832,0.71806,0.94346,0.99298,1,0.995,0.80303,0.79477,0.95661,0.90603,0.0005744,0.0005744,0.0005744
38,1144.7,0.83989,0.72985,0.97497,0.99365,1,0.995,0.78757,0.83242,0.95993,0.90989,0.0005348,0.0005348,0.0005348
39,1174.9,0.80943,0.68925,0.93925,0.99444,1,0.995,0.78814,0.88127,0.97099,0.91569,0.0004952,0.0004952,0.0004952
40,1205.47,0.92373,0.7041,0.99364,0.99452,1,0.995,0.81833,0.80418,0.93309,0.89519,0.0004556,0.0004556,0.0004556
41,1235.38,0.81733,0.80817,0.95431,0.99421,1,0.995,0.84948,0.6523,0.86784,0.86378,0.000416,0.000416,0.000416
42,1264.8,0.86114,0.81437,0.97459,0.99475,1,0.995,0.85423,0.61368,0.8556,0.86184,0.0003764,0.0003764,0.0003764
43,1294.79,0.84455,0.79322,0.96332,0.99455,1,0.995,0.8528,0.6195,0.89351,0.86149,0.0003368,0.0003368,0.0003368
44,1324.14,0.80699,0.7526,0.93798,0.99407,1,0.995,0.85242,0.62405,0.92549,0.85806,0.0002972,0.0002972,0.0002972
45,1354.4,0.76311,0.72978,0.92784,0.99389,1,0.995,0.84459,0.67117,0.93364,0.86232,0.0002576,0.0002576,0.0002576
46,1383.95,0.7644,0.73479,0.94278,0.99487,1,0.995,0.84531,0.66829,0.90362,0.85903,0.000218,0.000218,0.000218
47,1413.84,0.78865,0.74557,0.88325,0.99564,1,0.995,0.86883,0.65075,0.86239,0.85485,0.0001784,0.0001784,0.0001784
48,1443.09,0.7855,0.74025,0.92093,0.99605,1,0.995,0.86895,0.62434,0.8275,0.85094,0.0001388,0.0001388,0.0001388
49,1472.88,0.74164,0.70019,0.91863,0.99634,1,0.995,0.86612,0.61226,0.79259,0.84936,9.92e-05,9.92e-05,9.92e-05
50,1502.29,0.74377,0.67538,0.91986,0.99637,1,0.995,0.87241,0.60529,0.77017,0.84821,5.96e-05,5.96e-05,5.96e-05
